"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2025","1,920.77","1,890.93","1,923.61","1,887.17","","1.58%"
"07/15/2025","1,890.93","1,900.02","1,904.24","1,889.78","","-0.48%"
"07/14/2025","1,900.02","1,908.57","1,911.11","1,897.74","","-0.45%"
"07/13/2025","1,908.57","1,908.62","1,913.81","1,898.05","","0.00%"
"07/10/2025","1,908.62","1,894.21","1,915.71","1,894.21","","0.76%"
"07/09/2025","1,894.21","1,875.39","1,896.47","1,875.39","","1.00%"
"07/08/2025","1,875.39","1,873.00","1,877.19","1,860.66","","0.13%"
"07/07/2025","1,873.00","1,836.12","1,877.70","1,836.12","","2.01%"
"07/03/2025","1,836.12","1,817.70","1,837.44","1,816.59","","1.01%"
"07/02/2025","1,817.70","1,815.96","1,820.89","1,806.51","","0.10%"
"06/30/2025","1,815.96","1,816.51","1,820.46","1,805.30","","-0.03%"
"06/29/2025","1,816.51","1,820.10","1,834.73","1,812.52","","-0.20%"
"06/26/2025","1,820.10","1,790.09","1,821.76","1,789.19","","1.68%"
"06/25/2025","1,790.09","1,771.52","1,792.52","1,771.52","","1.05%"
"06/24/2025","1,771.52","1,763.13","1,779.49","1,762.71","","0.48%"
"06/23/2025","1,763.13","1,758.21","1,768.61","1,754.58","","0.28%"
"06/22/2025","1,758.21","1,782.20","1,782.20","1,752.37","","-1.35%"
"06/19/2025","1,782.20","1,787.45","1,800.39","1,781.21","","-0.29%"
"06/18/2025","1,787.45","1,770.21","1,789.58","1,766.89","","0.97%"
"06/17/2025","1,770.21","1,787.53","1,791.65","1,768.93","","-0.97%"
"06/16/2025","1,787.53","1,771.55","1,790.16","1,771.55","","0.90%"
"06/15/2025","1,771.55","1,762.37","1,773.69","1,751.50","","0.52%"
"06/04/2025","1,762.37","1,746.22","1,765.42","1,746.22","","0.92%"
"06/03/2025","1,746.22","1,755.80","1,762.13","1,744.13","","-0.55%"
"06/02/2025","1,755.80","1,747.58","1,759.08","1,747.58","","0.47%"
"06/01/2025","1,747.58","1,729.63","1,750.41","1,724.97","","1.04%"
"05/29/2025","1,729.63","1,708.36","1,741.84","1,697.19","","1.24%"
"05/28/2025","1,708.36","1,724.18","1,726.98","1,702.18","","-0.92%"
"05/27/2025","1,724.18","1,741.92","1,748.24","1,721.34","","-1.02%"
"05/26/2025","1,741.92","1,746.53","1,754.24","1,740.30","","-0.26%"
"05/25/2025","1,746.53","1,753.30","1,761.31","1,745.09","","-0.39%"
"05/24/2025","1,753.30","1,777.10","1,777.10","1,752.81","","-1.34%"
"05/22/2025","1,777.10","1,781.66","1,790.23","1,774.77","","-0.26%"
"05/21/2025","1,781.66","1,780.07","1,794.28","1,779.13","","0.09%"
"05/20/2025","1,780.07","1,771.98","1,783.31","1,768.94","","0.46%"
"05/19/2025","1,771.98","1,780.28","1,785.47","1,768.19","","-0.47%"
"05/18/2025","1,780.28","1,788.30","1,800.77","1,778.40","","-0.45%"
"05/17/2025","1,788.30","1,770.22","1,790.60","1,756.42","","1.02%"
"05/15/2025","1,770.22","1,791.14","1,801.60","1,769.36","","-1.17%"
"05/14/2025","1,791.14","1,798.74","1,801.07","1,790.19","","-0.42%"
"05/13/2025","1,798.74","1,815.51","1,820.86","1,795.92","","-0.92%"
"05/12/2025","1,815.51","1,820.46","1,820.52","1,806.15","","-0.27%"
"05/08/2025","1,820.46","1,793.43","1,823.45","1,793.43","","1.51%"
"05/07/2025","1,793.43","1,833.77","1,833.77","1,792.37","","-2.20%"
"05/06/2025","1,833.77","1,844.04","1,844.87","1,830.55","","-0.56%"
"05/05/2025","1,844.04","1,834.02","1,846.74","1,832.27","","0.55%"
"05/04/2025","1,834.02","1,822.89","1,838.68","1,818.88","","0.61%"
"04/30/2025","1,822.89","1,824.22","1,835.32","1,821.41","","-0.07%"
"04/29/2025","1,824.22","1,830.82","1,834.20","1,823.04","","-0.36%"
"04/28/2025","1,830.82","1,852.48","1,856.15","1,827.83","","-1.17%"
"04/27/2025","1,852.48","1,845.01","1,856.20","1,821.12","","0.41%"
"04/24/2025","1,845.01","1,867.52","1,867.52","1,843.31","","-1.21%"
"04/23/2025","1,867.52","1,859.84","1,873.98","1,859.84","","0.41%"
"04/22/2025","1,859.84","1,863.36","1,867.60","1,857.62","","-0.19%"
"04/21/2025","1,863.36","1,872.50","1,878.69","1,862.17","","-0.49%"
"04/20/2025","1,872.50","1,875.39","1,879.51","1,870.63","","-0.15%"
"04/17/2025","1,875.39","1,878.17","1,888.99","1,874.61","","-0.15%"
"04/16/2025","1,878.17","1,893.45","1,900.12","1,876.66","","-0.81%"
"04/15/2025","1,893.45","1,911.97","1,915.30","1,889.71","","-0.97%"
"04/13/2025","1,911.97","1,927.90","1,932.79","1,909.37","","-0.83%"
"04/10/2025","1,927.90","1,921.99","1,936.45","1,921.99","","0.31%"
"04/09/2025","1,921.99","1,924.89","1,938.84","1,921.24","","-0.15%"
"04/08/2025","1,924.89","1,931.32","1,937.54","1,923.88","","-0.30%"
"04/07/2025","1,930.71","1,929.34","1,948.58","1,929.33","","0.07%"
"04/06/2025","1,929.34","1,914.69","1,932.53","1,901.34","","0.77%"
"03/27/2025","1,914.69","1,918.06","1,920.93","1,909.13","","-0.18%"
"03/25/2025","1,918.06","1,911.56","1,925.54","1,911.56","","0.34%"
"03/24/2025","1,911.56","1,896.23","1,924.79","1,896.23","","0.81%"
"03/23/2025","1,896.23","1,887.88","1,901.89","1,887.88","","0.44%"
"03/20/2025","1,887.88","1,881.43","1,892.89","1,880.02","","0.34%"
"03/19/2025","1,881.43","1,882.10","1,889.20","1,880.21","","-0.04%"
"03/18/2025","1,882.10","1,888.59","1,891.84","1,880.64","","-0.34%"
"03/17/2025","1,888.59","1,894.60","1,894.60","1,886.32","","-0.32%"
"03/16/2025","1,894.60","1,901.56","1,905.35","1,894.47","","-0.37%"
"03/13/2025","1,901.56","1,899.62","1,903.97","1,896.60","","0.10%"
"03/12/2025","1,899.62","1,894.68","1,903.77","1,894.68","","0.26%"
"03/11/2025","1,894.68","1,890.28","1,901.94","1,890.28","","0.23%"
"03/10/2025","1,890.28","1,880.39","1,892.64","1,879.04","","0.53%"
"03/09/2025","1,880.39","1,889.68","1,892.92","1,879.65","","-0.49%"
"03/06/2025","1,889.68","1,890.49","1,900.17","1,888.95","","-0.04%"
"03/05/2025","1,890.49","1,889.58","1,894.74","1,888.44","","0.05%"
"03/04/2025","1,889.58","1,898.52","1,904.58","1,889.38","","-0.47%"
"03/03/2025","1,898.52","1,903.68","1,908.08","1,898.21","","-0.27%"
"03/02/2025","1,903.68","1,905.55","1,913.58","1,902.70","","-0.10%"
"02/27/2025","1,905.55","1,926.19","1,926.19","1,904.52","","-1.07%"
"02/26/2025","1,926.19","1,930.37","1,939.07","1,922.51","","-0.22%"
"02/25/2025","1,930.37","1,926.50","1,940.01","1,926.18","","0.20%"
"02/24/2025","1,926.50","1,921.06","1,929.42","1,921.06","","0.28%"
"02/23/2025","1,921.06","1,909.89","1,924.66","1,909.89","","0.58%"
"02/20/2025","1,909.89","1,913.08","1,920.54","1,906.29","","-0.17%"
"02/19/2025","1,913.08","1,922.43","1,927.01","1,910.53","","-0.49%"
"02/18/2025","1,922.43","1,928.33","1,936.94","1,920.80","","-0.31%"
"02/17/2025","1,928.33","1,921.64","1,931.57","1,921.64","","0.35%"
"02/16/2025","1,921.64","1,919.11","1,927.87","1,919.11","","0.13%"
"02/13/2025","1,919.11","1,913.38","1,921.72","1,912.83","","0.30%"
"02/12/2025","1,913.38","1,914.07","1,917.14","1,910.16","","-0.04%"
"02/11/2025","1,914.07","1,912.23","1,920.71","1,912.15","","0.10%"
"02/10/2025","1,912.23","1,911.84","1,917.24","1,907.11","","0.02%"
"02/09/2025","1,911.84","1,912.90","1,921.77","1,908.28","","-0.06%"
"02/06/2025","1,912.90","1,914.23","1,920.62","1,910.47","","-0.07%"
"02/05/2025","1,914.23","1,910.62","1,919.42","1,908.82","","0.19%"
"02/04/2025","1,910.62","1,909.80","1,916.98","1,907.30","","0.04%"
"02/03/2025","1,909.80","1,908.34","1,918.04","1,906.28","","0.08%"
"02/02/2025","1,908.34","1,903.85","1,914.30","1,903.85","","0.24%"
"01/30/2025","1,903.85","1,896.30","1,909.21","1,896.30","","0.40%"
"01/29/2025","1,896.30","1,896.97","1,899.53","1,892.60","","-0.04%"
"01/28/2025","1,896.97","1,894.80","1,900.04","1,892.87","","0.11%"
"01/27/2025","1,894.80","1,895.76","1,903.39","1,890.31","","-0.95%"
"01/23/2025","1,913.04","1,913.04","1,913.04","1,913.04","","-0.35%"
"01/22/2025","1,919.76","1,919.76","1,919.76","1,919.76","","-0.29%"
"01/21/2025","1,925.25","1,925.25","1,925.25","1,925.25","","0.11%"
"01/20/2025","1,923.10","1,923.10","1,923.10","1,923.10","","1.52%"
"01/16/2025","1,894.27","1,894.27","1,894.27","1,894.27","","-0.21%"
"01/15/2025","1,898.31","1,898.31","1,898.31","1,898.31","","-0.32%"
"01/14/2025","1,904.42","1,904.42","1,904.42","1,904.42","","-0.09%"
"01/13/2025","1,906.10","1,906.10","1,906.10","1,906.10","","-0.94%"
"01/09/2025","1,924.27","1,924.27","1,924.27","1,924.27","","0.17%"
"01/08/2025","1,921.00","1,921.00","1,921.00","1,921.00","","-0.09%"
"01/07/2025","1,922.75","1,922.75","1,922.75","1,922.75","","-0.56%"
"01/06/2025","1,933.62","1,933.62","1,933.62","1,933.62","","0.14%"
"01/02/2025","1,930.97","1,930.97","1,930.97","1,930.97","","-0.56%"
"01/01/2025","1,941.94","1,941.94","1,941.94","1,941.94","","0.11%"
"12/30/2024","1,939.73","1,939.73","1,939.73","1,939.73","","0.65%"
"12/26/2024","1,927.28","1,927.28","1,927.28","1,927.28","","0.22%"
"12/24/2024","1,923.02","1,923.02","1,923.02","1,923.02","","0.05%"
"12/23/2024","1,922.11","1,922.11","1,922.11","1,922.11","","-0.84%"
"12/19/2024","1,938.30","1,938.30","1,938.30","1,938.30","","0.43%"
"12/18/2024","1,930.06","1,930.06","1,930.06","1,930.06","","0.03%"
