"Date","Price","Open","High","Low","Vol.","Change %"
"06/12/2022","6,425.73","6,481.38","6,481.38","6,357.43","","-0.84%"
"06/05/2022","6,480.30","6,471.88","6,524.88","6,457.34","","0.45%"
"05/29/2022","6,451.53","6,279.35","6,490.91","6,279.35","","3.42%"
"05/22/2022","6,237.97","6,268.07","6,305.93","6,133.44","","-0.32%"
"05/15/2022","6,258.24","6,565.47","6,565.47","6,252.45","","-4.68%"
"05/08/2022","6,565.47","6,652.93","6,726.06","6,554.12","","-1.17%"
"05/01/2022","6,643.16","6,631.01","6,647.40","6,629.54","","-0.19%"
"04/24/2022","6,655.66","6,662.41","6,720.39","6,635.24","","-0.10%"
"04/17/2022","6,662.36","6,585.03","6,670.73","6,422.46","","1.18%"
"04/10/2022","6,584.97","6,641.23","6,677.72","6,515.88","","-0.85%"
"04/03/2022","6,641.23","6,757.83","6,789.90","6,634.08","","-1.73%"
"03/27/2022","6,757.83","6,752.87","6,784.81","6,730.32","","0.07%"
"03/20/2022","6,752.87","6,765.58","6,807.47","6,652.65","","-0.19%"
"03/13/2022","6,765.58","6,668.14","6,789.59","6,668.14","","1.46%"
"03/06/2022","6,668.14","6,696.52","6,740.80","6,318.61","","-0.42%"
"02/27/2022","6,696.52","6,839.44","6,839.57","6,647.54","","-2.09%"
"02/20/2022","6,839.44","6,926.62","6,970.22","6,830.99","","-2.17%"
"02/13/2022","6,991.35","7,085.94","7,118.40","6,978.98","","-1.33%"
"02/06/2022","7,085.94","7,023.52","7,107.92","7,023.52","","0.89%"
"01/30/2022","7,023.52","7,027.55","7,056.94","6,924.25","","-0.06%"
"01/23/2022","7,027.55","7,105.69","7,133.79","7,015.16","","-1.10%"
"01/16/2022","7,105.69","7,017.22","7,136.31","7,017.22","","1.26%"
"01/09/2022","7,017.22","6,987.45","7,098.52","6,927.08","","0.43%"
"01/02/2022","6,987.45","6,756.65","7,003.89","6,756.65","","3.42%"
"12/26/2021","6,756.65","6,702.61","6,777.83","6,610.17","","0.81%"
"12/19/2021","6,702.61","6,868.17","6,872.82","6,700.07","","-2.41%"
"12/12/2021","6,868.17","6,984.74","7,021.18","6,824.63","","-1.67%"
"12/05/2021","6,984.74","6,936.20","7,055.46","6,931.19","","0.70%"
"11/28/2021","6,936.20","6,852.08","6,948.06","6,699.16","","1.23%"
"11/21/2021","6,852.08","7,091.81","7,134.75","6,845.61","","-3.38%"
"11/14/2021","7,091.81","6,995.92","7,100.37","6,918.85","","1.37%"
"11/07/2021","6,995.92","6,906.71","7,051.94","6,785.20","","1.29%"
"10/31/2021","6,906.71","7,062.35","7,090.48","6,863.78","","-2.20%"
"10/24/2021","7,062.35","7,076.23","7,138.48","6,841.29","","-0.20%"
"10/17/2021","7,076.23","7,243.26","7,283.89","6,986.64","","-2.31%"
"10/10/2021","7,243.26","7,342.96","7,410.62","7,195.10","","-1.36%"
"10/03/2021","7,342.96","7,329.03","7,406.98","7,277.34","","0.19%"
"09/26/2021","7,329.03","7,250.60","7,344.05","7,233.41","","1.08%"
"09/19/2021","7,250.60","7,228.31","7,306.76","7,187.41","","0.31%"
"09/12/2021","7,228.31","7,258.74","7,334.41","7,104.10","","-0.42%"
"09/05/2021","7,258.74","7,057.22","7,275.79","7,045.83","","3.98%"
"08/29/2021","6,981.05","6,851.32","6,991.66","6,819.21","","1.89%"
"08/22/2021","6,851.32","6,760.61","6,923.00","6,760.61","","1.34%"
"08/15/2021","6,760.61","6,699.39","6,821.75","6,698.45","","0.91%"
"08/08/2021","6,699.39","6,596.07","6,705.89","6,523.46","","1.57%"
"08/01/2021","6,596.07","6,425.25","6,600.72","6,425.25","","2.66%"
"07/25/2021","6,425.25","6,425.27","6,447.20","6,375.04","","0.32%"
"07/18/2021","6,405.04","6,307.35","6,407.20","6,307.35","","1.55%"
"07/11/2021","6,307.35","6,212.76","6,310.23","6,196.76","","1.52%"
"07/04/2021","6,212.76","6,150.48","6,239.66","6,150.48","","1.01%"
"06/27/2021","6,150.48","6,092.83","6,156.59","5,982.68","","0.95%"
"06/20/2021","6,092.83","6,052.75","6,144.76","6,000.92","","0.66%"
"06/13/2021","6,052.75","6,066.64","6,098.51","5,985.85","","-0.23%"
"06/06/2021","6,066.64","6,053.42","6,111.84","5,938.98","","0.22%"
"05/30/2021","6,053.42","5,985.81","6,074.58","5,959.83","","1.13%"
"05/23/2021","5,985.81","5,813.06","5,988.52","5,775.26","","2.97%"
"05/16/2021","5,813.06","5,750.49","5,907.01","5,750.49","","1.09%"
"05/09/2021","5,750.49","5,606.01","5,754.16","5,582.42","","2.58%"
"05/02/2021","5,606.01","5,479.61","5,625.91","5,479.61","","2.31%"
"04/25/2021","5,479.61","5,435.03","5,525.58","5,413.01","","0.82%"
"04/18/2021","5,435.03","5,310.18","5,456.64","5,293.23","","2.35%"
"04/11/2021","5,310.18","5,254.77","5,313.95","5,150.25","","1.05%"
"04/04/2021","5,254.77","5,270.53","5,360.38","5,080.40","","-0.30%"
"03/28/2021","5,270.53","5,327.21","5,399.36","5,208.70","","-1.06%"
"03/21/2021","5,327.21","5,434.69","5,451.92","5,289.81","","-1.98%"
"03/14/2021","5,434.69","5,568.85","5,591.30","5,414.96","","-2.41%"
"03/07/2021","5,568.85","5,515.78","5,616.63","5,515.78","","0.96%"
"02/28/2021","5,515.78","5,416.39","5,537.70","5,384.22","","1.83%"
"02/21/2021","5,416.39","5,475.98","5,482.56","5,313.22","","-1.09%"
"02/14/2021","5,475.98","5,485.01","5,597.79","5,419.46","","-0.16%"
"02/07/2021","5,485.01","5,647.67","5,666.62","5,353.35","","-2.88%"
"01/31/2021","5,647.67","5,724.35","5,756.99","5,547.14","","-1.34%"
"01/24/2021","5,724.35","5,836.18","5,853.46","5,685.70","","-1.92%"
"01/17/2021","5,836.18","5,909.30","5,971.79","5,725.67","","-1.24%"
"01/10/2021","5,909.30","5,621.76","5,939.59","5,616.35","","5.11%"
"01/03/2021","5,621.76","5,402.06","5,831.83","5,402.06","","4.07%"
"12/27/2020","5,402.06","5,326.64","5,407.10","5,297.59","","3.52%"
"12/20/2020","5,218.36","5,108.03","5,223.51","5,062.70","","2.16%"
"12/13/2020","5,108.03","5,094.66","5,182.64","5,086.56","","0.26%"
"12/06/2020","5,094.66","4,974.83","5,101.73","4,974.83","","2.41%"
"11/29/2020","4,974.83","4,869.09","4,976.56","4,863.24","","2.17%"
"11/22/2020","4,869.09","4,851.96","4,879.49","4,780.04","","-0.22%"
"11/15/2020","4,879.96","4,905.03","4,919.41","4,862.77","","-0.51%"
"11/08/2020","4,905.03","4,942.12","4,954.82","4,873.10","","-0.75%"
"11/01/2020","4,942.12","4,846.10","4,958.67","4,846.10","","1.98%"
"10/25/2020","4,846.10","4,914.03","4,926.36","4,811.45","","-1.38%"
"10/18/2020","4,914.03","4,872.29","4,945.67","4,856.72","","0.86%"
"10/11/2020","4,872.29","4,916.97","4,928.67","4,803.58","","-0.91%"
"10/04/2020","4,916.97","4,995.31","5,014.25","4,910.10","","-1.57%"
"09/27/2020","4,995.31","4,978.77","5,029.44","4,953.73","","0.33%"
"09/20/2020","4,978.77","5,104.65","5,131.05","4,957.07","","-2.47%"
"09/13/2020","5,104.65","5,105.97","5,134.89","5,072.86","","1.86%"
"09/06/2020","5,011.29","4,927.82","5,016.51","4,927.82","","1.69%"
"08/30/2020","4,927.82","4,873.17","4,947.09","4,839.97","","1.12%"
"08/23/2020","4,873.17","4,794.06","4,884.31","4,713.40","","1.65%"
"08/16/2020","4,794.06","4,703.32","4,952.85","4,686.55","","1.93%"
"08/09/2020","4,703.32","4,364.83","4,739.67","4,364.83","","7.75%"
"08/02/2020","4,364.83","4,214.42","4,368.34","4,214.42","","3.57%"
"07/26/2020","4,214.42","4,080.93","4,218.49","4,080.87","","3.27%"
"07/19/2020","4,080.93","4,043.97","4,088.44","4,039.58","","0.29%"
"07/12/2020","4,069.11","4,077.82","4,111.27","4,058.43","","0.19%"
"07/05/2020","4,061.56","3,986.73","4,063.23","3,977.10","","1.88%"
"06/28/2020","3,986.73","3,969.28","3,989.53","3,965.55","","0.44%"
"06/21/2020","3,969.28","3,960.57","3,970.22","3,959.66","","0.22%"
"06/14/2020","3,960.57","3,967.31","3,971.13","3,954.32","","-0.17%"
"06/07/2020","3,967.31","3,953.38","3,969.47","3,953.38","","0.35%"
"05/31/2020","3,953.38","4,008.28","4,102.76","3,952.47","","-1.37%"
"05/24/2020","4,008.28","4,008.28","4,008.28","4,008.28","","0.00%"
"05/03/2020","4,008.28","4,008.28","4,008.28","4,008.28","","0.00%"
"04/26/2020","4,008.28","4,008.28","4,008.28","4,008.28","","0.00%"
"04/05/2020","4,008.28","4,008.28","4,008.28","4,008.28","","0.00%"
